"","date","NDVI"
"462","2020-01-10",0.801277139208174
"463","2020-01-26",0.887920885330822
"467","2020-03-14",-0.00158639507582965
"469","2020-04-15",0.903830025160749
"471","2020-05-01",0.879305269355313
"472","2020-05-17",0.81908302354399
"473","2020-06-02",0.896907216494845
"475","2020-06-18",0.910485133020344
"477","2020-07-04",0.00115874855156433
"479","2020-07-20",0.907682375726275
"481","2020-08-05",0.89371678649578
"484","2020-09-06",0.772857728577286
"487","2020-10-08",-0.0233038686717943
"488","2020-10-24",0.059073975518893
"489","2020-11-09",0.0424082959294227
"491","2020-11-25",0.917635658914729
"493","2020-12-11",0.0129745314752522
"496","2021-01-12",0.899245558530056
"498","2021-01-28",0.900641787497029
"501","2021-03-01",0.602403058438012
"503","2021-03-17",0.909465020576132
"505","2021-04-02",0.912594358363131
"507","2021-04-18",0.893978383942357
"509","2021-05-04",0.903914590747331
"511","2021-05-20",0.58247168882324
"513","2021-06-05",0.914064914992272
"515","2021-06-21",0.463414634146341
"516","2021-07-07",0.360847741215839
"518","2021-07-23",0.903201787043931
"520","2021-08-08",0.909224874742116
"522","2021-08-24",0.83375156838143
"524","2021-09-09",0.779338014042126
"526","2021-09-25",0.577410679984633
"529","2021-11-28",0.047082717872969
"531","2021-12-06",0.0981743666169896
"533","2021-12-14",0.851869050383097
"535","2021-12-22",0.886572952011634
"538","2022-01-15",0.017763277143375
"540","2022-01-23",0.872039072039072
"542","2022-02-16",0.00854344655136491
"544","2022-02-24",0.00957611603999433
"546","2022-03-04",0.878395860284605
"549","2022-03-20",0.790080738177624
"550","2022-03-28",0.375220458553792
"552","2022-04-05",0.937532535137949
"554","2022-04-13",0.882417885730058
"556","2022-04-21",0.872996673722407
"558","2022-04-29",0.882180539273154
"560","2022-05-07",0.742830129215254
"562","2022-05-15",-0.00122930074481165
"564","2022-05-31",0.0547243699166583
"566","2022-06-08",0.266918476550205
"568","2022-06-16",0.887945670628183
"570","2022-06-24",0.869860796374231
"572","2022-07-02",0.882549215882549
"574","2022-07-10",0.88881446751507
"576","2022-07-18",-0.0203981322192185
"578","2022-07-26",0.204716798762807
"580","2022-08-03",0.0138820029747149
"581","2022-08-11",0.0216876971608832
"584","2022-08-27",0.862433862433862
"588","2022-09-20",-0.000685923329014566
"591","2022-10-06",0.0814103747461694
"593","2022-10-14",0.003921568627451
"594","2022-10-22",0.867956744450768
"596","2022-10-30",0.0401773835920177
"599","2022-11-15",0.0553061419428789
"601","2022-11-23",0.800930713547053
"604","2022-12-09",0.897676601736682
"607","2022-12-25",0.905025722200237
"609","2023-01-02",0.902894491129785
"611","2023-01-18",0.873515024458421
"613","2023-01-26",0.896885632033499
"615","2023-02-03",0.205963688830107
"617","2023-02-11",0.023391812865497
"619","2023-02-19",0.0803135294785869
"621","2023-02-27",0.823486148565825
"623","2023-03-07",0.853753235547886
"624","2023-03-15",0.906558079725675
"626","2023-03-23",0.823354564755839
"628","2023-03-31",0.886861313868613
"630","2023-04-16",0.865
"632","2023-04-24",0.906467661691542
"634","2023-05-02",0.96978021978022
"636","2023-05-10",-0.0201015228426396
"637","2023-05-18",0.00362715182221197
"639","2023-05-26",0.91158014831717
"641","2023-06-03",0.914342068188222
"643","2023-06-11",0.897467958737105
"645","2023-06-19",-0.00759851563880549
"647","2023-06-27",0.905874921036007
"649","2023-07-05",0.897435897435897
"651","2023-07-13",0.85898646521876
"653","2023-07-21",0.893693693693694
"656","2023-08-06",0.86435613982671
"658","2023-08-22",0.874387254901961
"660","2023-08-30",0.36978417266187
"662","2023-09-07",0.0352036894696387
"664","2023-09-23",0.0239073589839372
"667","2023-10-17",0.893236589790101
"669","2023-11-02",0.0180329682487001
"671","2023-11-10",0.768259693417493
"673","2023-11-18",0.75827640567525
"674","2023-11-26",0.0692459128648463
"676","2023-12-04",0.132504440497336
"677","2023-12-12",0.815510761872224
"679","2023-12-20",0.883234714003945
"681","2023-12-28",0.542143600416233
"3791","2020-01-04",0.0450882160749292
"3792","2020-01-09",0.857142857142857
"3793","2020-01-14",0.255715218811234
"3794","2020-01-19",0.188983855650522
"3795","2020-01-29",0.880480167014614
"3796","2020-02-03",0.0205745709680477
"3797","2020-02-08",0.892727272727273
"3798","2020-02-13",0.0487631069937901
"3799","2020-02-18",0.900444938820912
"3800","2020-02-23",0.0614298152268549
"3801","2020-03-04",0.152560942207614
"3802","2020-03-09",0.878531073446328
"3803","2020-03-24",0.667109004739336
"3804","2020-03-29",0.87040052100293
"3805","2020-04-23",0.0748615329640879
"3806","2020-04-28",0.874468085106383
"3807","2020-05-03",-0.0797005108109999
"3809","2020-05-18",0.899301727306138
"3810","2020-05-23",0.740424184868629
"3811","2020-05-28",0.200055302087654
"3812","2020-06-02",0.88855806039983
"3813","2020-06-17",0.899915895710681
"3814","2020-06-22",0.895974672094075
"3815","2020-06-27",0.01875
