"","date","NDVI"
"586","2020-01-16",0.169641986147693
"587","2020-02-01",0.206961178045515
"589","2020-02-17",0.325355272999252
"591","2020-03-04",0.103531598513011
"593","2020-03-20",0.0915993537964459
"595","2020-04-05",0.706483373583504
"597","2020-04-21",0.773284075442349
"602","2020-06-08",0.482758620689655
"604","2020-06-24",0.293071735131821
"606","2020-07-10",0.272013093289689
"608","2020-07-26",0.210297443033571
"610","2020-08-11",0.201594730455885
"612","2020-08-27",0.191045278572631
"614","2020-09-12",0.189839119390347
"616","2020-09-28",0.21659338558593
"618","2020-10-14",0.0919277858476862
"621","2020-11-15",0.368675670227777
"623","2020-12-01",0.397691500524659
"624","2020-12-17",0.583935742971887
"625","2021-01-02",0.772215269086358
"628","2021-02-03",0.632270168855535
"631","2021-03-23",0.264018356517998
"633","2021-04-08",-0.00550494470697135
"635","2021-04-24",0.720653133274492
"637","2021-05-10",0.692110874200426
"639","2021-05-26",0.559706470980654
"641","2021-06-11",0.348335974643423
"643","2021-06-27",0.269534679543459
"645","2021-07-13",0.235630867872681
"648","2021-08-14",0.222114764667956
"650","2021-08-30",0.22927807486631
"652","2021-09-15",0.254672897196262
"654","2021-10-01",0.230190861769809
"656","2021-10-17",0.243081525804039
"658","2021-11-02",0.391513982642237
"660","2021-11-18",0.693845344555497
"662","2021-12-12",0.46521635190055
"665","2022-01-13",0.202189115232594
"666","2022-01-13",0.2019874264855
"668","2022-01-21",0.555555555555555
"670","2022-02-06",0.135600706713781
"672","2022-02-22",0.221291276490882
"674","2022-03-02",0.215523215523216
"677","2022-03-26",0.103338366045965
"679","2022-04-03",0.748406988694758
"681","2022-04-11",0.767697314890155
"683","2022-04-19",0.745523488519065
"684","2022-04-20",0.70158201498751
"685","2022-04-27",0.708113077453459
"687","2022-05-05",0.689936960074714
"689","2022-05-13",0.616937469226982
"691","2022-05-21",0.519356460532931
"693","2022-05-29",0.362694300518135
"695","2022-06-06",0.294991922455574
"696","2022-06-14",0.372741194486983
"698","2022-06-22",0.261637239165329
"700","2022-06-30",0.263425253991292
"701","2022-07-01",0.243715083798883
"702","2022-07-08",0.234364261168385
"704","2022-07-16",0.270491803278688
"706","2022-07-24",0.227774172615185
"708","2022-08-01",0.212886923562855
"710","2022-08-09",0.228919525488939
"712","2022-08-17",0.226236125126135
"714","2022-08-25",0.291838955386289
"717","2022-09-10",0.234320735444331
"719","2022-09-18",0.317083162638263
"721","2022-09-26",0.239370078740157
"723","2022-10-04",0.240755107318335
"726","2022-10-20",0.299837171435218
"728","2022-10-28",0.279841224836972
"730","2022-11-05",0.207498934810396
"732","2022-11-13",0.290440145780768
"734","2022-11-21",0.38255033557047
"736","2022-11-29",0.271741808327174
"738","2022-12-07",0.427817258883249
"740","2022-12-15",0.585724797645327
"741","2022-12-23",0.122576294048221
"743","2023-01-16",0.748477996173247
"745","2023-01-24",0.372460496613995
"746","2023-02-01",0.742056777589773
"748","2023-02-09",0.542347696879643
"749","2023-02-10",0.604671661524901
"750","2023-02-17",0.354430379746835
"752","2023-02-25",0.0307969097258969
"754","2023-03-05",0.326978723404255
"758","2023-03-29",0.116746698679472
"762","2023-04-22",0.524407252440725
"763","2023-04-30",0.4695885509839
"765","2023-05-08",0.577545691906005
"767","2023-05-16",0.595030514385353
"769","2023-05-24",0.632223415682062
"771","2023-06-01",0.720053835800808
"773","2023-06-09",0.663319803460799
"775","2023-06-17",0.602861478430522
"777","2023-06-25",0.0127346249019253
"779","2023-07-03",0.21578833224897
"780","2023-07-04",0.200827300930714
"781","2023-07-11",0.200444444444444
"783","2023-07-19",0.219133034379671
"785","2023-07-27",0.188785046728972
"787","2023-08-04",0.184272300469484
"789","2023-08-12",0.190584662110858
"791","2023-08-20",0.206243032329989
"792","2023-08-28",0.209171974522293
"794","2023-09-05",0.209406494960806
"796","2023-09-13",0.241509433962264
"798","2023-09-21",0.260857689155968
"800","2023-09-29",0.219845243513883
"802","2023-10-07",0.229598051157125
"804","2023-10-15",0.207547169811321
"806","2023-10-23",0.0741042345276873
"808","2023-10-31",0.316889000755097
"810","2023-11-08",0.340967423494571
"812","2023-11-16",-0.024236037934668
"814","2023-11-24",0.48051948051948
"816","2023-12-02",0.580711920529801
"818","2023-12-10",0.611825192802056
"820","2023-12-18",0.638927097661623
"2593","2020-01-02",0.149544072948328
"2594","2020-01-07",0.0813239204180801
"2595","2020-01-12",0.0840959445140159
"2596","2020-01-17",0.675471698113207
"2597","2020-01-27",-0.0206367313076844
"2598","2020-02-16",0.26158273381295
"2599","2020-02-26",0.187489318065288
"2600","2020-03-02",0.275294958884519
"2601","2020-03-07",0.145806451612903
"2602","2020-03-12",0.0999887273137189
"2603","2020-03-22",0.43282102131879
"2604","2020-04-01",0.635514018691589
"2605","2020-04-06",0.651039363113666
"2606","2020-04-21",0.784653465346535
"2607","2020-04-26",0.70309381237525
"2608","2020-05-01",0.621127702250947
"2609","2020-05-06",0.0623726688606801
"2610","2020-05-11",0.712880418075622
"2611","2020-05-16",0.653708298869589
"2612","2020-05-21",0.670898680607419
"2613","2020-05-26",0.583333333333333
"2614","2020-05-31",0.626929217668973
"2615","2020-06-05",0.438049333711369
"2616","2020-06-10",0.362350380848748
"2617","2020-06-20",0.396748529920443
"2618","2020-06-25",0.191369606003752
"2619","2020-06-30",0.19097651421508
"2620","2020-07-05",0.171124718014824
"2621","2020-07-10",0.17994287527769
"2622","2020-07-15",0.184357541899441
"2623","2020-07-20",0.214706902532085
"2624","2020-07-25",0.149834741094381
"2625","2020-07-30",0.156063077759652
"2626","2020-08-14",0.134625644673662
"2627","2020-08-19",0.141814389989572
"2628","2020-08-24",0.143116930350973
"2629","2020-08-29",0.161076170510133
"2630","2020-09-03",0.1546808901968
"2631","2020-09-08",0.163706025774991
"2632","2020-09-13",0.183854770181537
"2633","2020-09-18",0.279283417547083
"2634","2020-09-23",0.173791170287316
"2635","2020-09-28",0.152416356877323
"2636","2020-10-03",0.198419666374012
"2637","2020-10-08",0.200250836120401
"2638","2020-10-13",0.159200202480385
"2639","2020-10-18",0.00296810862014527
"2640","2020-10-23",0.00718642430098437
"2641","2020-11-02",0.315568714532445
"2642","2020-11-07",0.283435582822086
"2643","2020-11-12",0.1247591522158
"2644","2020-11-17",0.315031152647975
"2645","2020-11-22",0.341865616539503
"2646","2020-11-27",0.487616727568007
"2647","2020-12-02",0.25588768115942
"2648","2020-12-07",0.020257373314451
"2649","2020-12-12",0.086541921554516
"2650","2020-12-17",0.461919783686345
"2651","2020-12-22",0.124712930604094
"2652","2021-01-01",0.230091216562468
"2653","2021-01-06",0.078010841385812
"2654","2021-01-11",0.59489516864175
"2655","2021-01-26",0.704931123976842
"2656","2021-01-31",0.196232027764006
"2657","2021-02-05",0.104637336504162
"2658","2021-02-10",0.307990245301965
"2659","2021-02-20",-0.0139723005270254
"2660","2021-02-25",0.0534111701664198
"2661","2021-03-07",0.484584980237154
"2662","2021-03-12",0.0713684210526315
"2663","2021-03-22",0.078296832409061
"2664","2021-03-27",0.295801079052311
"2665","2021-04-01",0.622227759780713
"2666","2021-04-06",0.573020527859238
"2667","2021-04-11",0.588032830288589
"2668","2021-04-16",0.581025764507585
"2669","2021-04-21",0.622699386503068
"2670","2021-04-26",0.232943356886366
"2671","2021-05-01",0.60271186440678
"2672","2021-05-06",0.640836408364084
"2673","2021-05-11",0.578627500633072
"2674","2021-05-16",0.377231257437525
"2675","2021-05-21",0.470819672131148
"2676","2021-05-26",0.5624599615631
"2677","2021-05-31",0.358526516354398
"2678","2021-06-05",0.4960828910791
"2679","2021-06-10",0.244414804934978
"2680","2021-06-15",0.239324726911619
"2681","2021-06-20",0.187158908507223
"2682","2021-06-25",0.187537447573397
"2683","2021-06-30",0.174585324711836
"2684","2021-07-05",0.179002855260268
"2685","2021-07-10",0.16722972972973
"2686","2021-07-15",0.171578706876856
"2687","2021-07-20",0.173062997827661
"2688","2021-07-25",0.163443436590792
"2689","2021-07-30",0.168286445012788
"2690","2021-08-04",0.174922371728523
"2691","2021-08-09",0.156372298791901
"2692","2021-08-14",0.17086361331756
"2693","2021-08-19",0.165002538500592
"2694","2021-08-24",0.181402936378467
"2695","2021-08-29",0.186637618010167
"2696","2021-09-03",0.180104712041885
"2697","2021-09-08",0.172401103955842
"2698","2021-09-13",0.1745960502693
"2699","2021-09-18",0.187106156083374
"2700","2021-09-23",0.230769230769231
"2701","2021-09-28",0.154672897196262
"2702","2021-10-03",0.155773701885818
"2703","2021-10-08",0.214248838409912
"2704","2021-10-13",0.216354344122658
